FBS (%),ITS (1x),bFGF (ng/mL),ascorbic acid (µg/mL),Lipids (1000X),YE 903 (mg/mL),Nutek YE FP100 (µL/mL),Flaxseed Extract,Cell Boost 5 % (µL/mL),Cell Boost 6 % (µL/mL),Kerry mix (1510/7504/4601N) (µL/mL), Kerry mix (1510/YE) (µL/mL),Chlorella (µL/mL),Red Hardtii (µg/mL),Green Hardtii (µg/mL),Nanochloropsis (µg/mL),L-glutathione reduced (X),Superoxide Dismutase (X),DL-alpha-tocopherol acetate (X),Seratonine Creatinine Sulfate Monohydrate (ng/mL), NRG1 (ng/mL),Total Cell count (in 0.33cm2)
2,1,10,10,1,0,0,0,0,50,0,5,0,0,0,0,0,0,0,0,0,18503
2,1,10,10,1,0,2,0,0,50,0,5,2,0,0,0,0,0,0,0,0,20360.5
0.5,1,10,10,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6797.75
0.5,1,10,10,1,0,2,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5299
2,1,10,10,1,0,2,0,50,50,5,5,2,0,0,0,0,0,0,0,0,7944.75
2,1,10,10,1,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,14526
1.25,1,10,10,1,0,1,0,25,25,2.5,2.5,1,0,0,0,0,0,0,0,0,13809.25
2,1,10,10,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6020.5
0.5,1,10,10,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,13553.5
0.5,1,10,10,1,0,2,0,50,50,0,0,0,0,0,0,0,0,0,0,0,9788.5
0.5,1,10,10,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6124.666667
2,1,10,10,1,0,2,0,50,50,0,5,0,0,0,0,0,0,0,0,0,8625.25
0.5,1,10,10,1,0,0,0,0,50,5,5,0,0,0,0,0,0,0,0,0,13765.5
0.5,1,10,10,1,0,0,0,0,0,5,5,2,0,0,0,0,0,0,0,0,5773
0.5,1,10,10,1,0,0,0,50,0,0,5,2,0,0,0,0,0,0,0,0,10154
0.5,1,10,10,1,0,0,0,50,50,0,0,2,0,0,0,0,0,0,0,0,10046
0.5,1,10,10,1,0,0,0,50,50,5,0,0,0,0,0,0,0,0,0,0,8318.75
0.5,1,10,10,1,0,2,0,0,0,5,0,2,0,0,0,0,0,0,0,0,4843.75
0.5,1,10,10,1,0,0,0,50,0,5,5,0,0,0,0,0,0,0,0,0,4672.5
0.5,1,10,10,1,0,2,0,50,50,5,0,2,0,0,0,0,0,0,0,0,6015
0.5,1,10,10,1,0,0,0,50,0,5,0,2,0,0,0,0,0,0,0,0,5566.5
0.5,1,10,10,1,0,2,0,50,50,5,5,0,0,0,0,0,0,0,0,0,4360
0.5,1,10,10,1,0,2,0,50,0,5,5,2,0,0,0,0,0,0,0,0,4009.75
2,1,10,10,1,0,0,0,50,0,5,5,2,0,0,0,0,0,0,0,0,2928.5
2,1,10,10,1,0,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,14755.75
0.5,1,10,10,1,0,2,0,50,0,5,0,0,0,0,0,0,0,0,0,0,6513.25
2,1,10,10,1,0,0,0,50,50,0,5,2,0,0,0,0,0,0,0,0,11550.5
0.5,1,10,10,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5035.25
2,1,10,10,1,0,2,0,0,50,5,5,0,0,0,0,0,0,0,0,0,16193.25
0.5,1,10,10,1,0,2,0,50,0,0,5,0,0,0,0,0,0,0,0,0,9236.75
1.25,1,10,10,1,0,1,0,25,25,2.5,2.5,1,0,0,0,0,0,0,0,0,14229
2,1,10,10,1,0,2,0,50,0,0,5,2,0,0,0,0,0,0,0,0,9250.5
0.5,1,10,10,1,0,2,0,0,50,0,0,2,0,0,0,0,0,0,0,0,11723
2,1,10,10,1,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7057.75
2,1,10,10,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5659.25
0.5,1,10,10,1,0,2,0,50,0,0,0,2,0,0,0,0,0,0,0,0,9779.25
2,1,10,10,1,0,2,0,50,0,5,0,2,0,0,0,0,0,0,0,0,7323
2,1,10,10,1,0,0,0,0,50,5,0,0,0,0,0,0,0,0,0,0,15115
2,1,10,10,1,0,2,0,0,50,5,0,2,0,0,0,0,0,0,0,0,13699.5
2,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5669.75
1.25,1,10,10,1,0,1,0,25,25,2.5,2.5,1,0,0,0,0,0,0,0,0,11055.66667
2,1,10,10,1,0,0,0,50,0,0,5,0,0,0,0,0,0,0,0,0,6616.25
0.5,1,10,10,1,0,2,0,0,50,5,5,2,0,0,0,0,0,0,0,0,11782
0.5,1,10,10,1,0,0,0,0,50,5,0,2,0,0,0,0,0,0,0,0,10435
2,1,10,10,1,0,2,0,0,0,5,5,2,0,0,0,0,0,0,0,0,6172.5
0.5,1,10,10,1,0,2,0,0,0,0,5,2,0,0,0,0,0,0,0,0,5008.75
0.5,1,10,10,1,0,2,0,50,50,0,5,2,0,0,0,0,0,0,0,0,6674.5
2,1,10,10,1,0,2,0,50,50,5,0,0,0,0,0,0,0,0,0,0,7552
2,1,10,10,1,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5820.75
2,1,10,10,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,6535.75
0.5,1,10,10,1,0,0,0,50,50,0,5,0,0,0,0,0,0,0,0,0,6168
2,1,10,10,1,0,0,0,50,50,5,5,0,0,0,0,0,0,0,0,0,7078
2,1,10,10,1,0,0,0,50,0,5,0,0,0,0,0,0,0,0,0,0,5317
2,1,10,10,1,0,0,0,50,0,0,0,2,0,0,0,0,0,0,0,0,10318.5
2,1,10,10,1,0,0,0,0,50,0,0,2,0,0,0,0,0,0,0,0,14557
2,1,10,10,1,0,2,0,50,50,0,0,2,0,0,0,0,0,0,0,0,11273
2,1,10,10,1,0,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,11522
0.5,1,10,10,1,0,0,0,50,50,5,5,2,0,0,0,0,0,0,0,0,2469.75
2,1,10,10,1,0,2,0,50,0,5,5,0,0,0,0,0,0,0,0,0,2253.5
2,1,10,10,1,0,0,0,50,50,5,0,2,0,0,0,0,0,0,0,0,9767.5
0.5,1,10,10,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,8779
2,1,10,10,1,0,0,0,0,50,5,5,2,0,0,0,0,0,0,0,0,12753.75
1.25,1,10,10,1,0,1,0,25,25,2.5,2.5,1,0,0,0,0,0,0,0,0,9780
0.5,1,10,10,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5307.75
0.5,1,10,10,1,0,0,0,0,50,0,5,2,0,0,0,0,0,0,0,0,11845
0.5,1,10,10,1,0,2,0,0,50,0,5,0,0,0,0,0,0,0,0,0,10607.25
2,1,10,10,1,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,5941.5
0.5,1,10,10,1,0,2,0,0,50,5,0,0,0,0,0,0,0,0,0,0,13788.25
1,1,10,10,1,0.1,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,5413.75
0,1,10,10,1,0.1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3759.75
1,1,10,10,1,0.1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5760.75
0,1,10,10,1,0.1,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,4009.75
2,1,10,10,1,0.1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4639.75
